frame,rally_id,player_id,speed_kmh,ball_x,ball_y,court_x,court_y,shot_type
1286,4,2,181.1,463,40,-945.4070434570312,-7361.23193359375,
1287,4,2,460.5,467,34,-963.9312744140625,-7616.37646484375,
1289,4,2,460.5,456,39,-967.191162109375,-7399.35595703125,
1292,4,2,307.4,442,41,-991.7423095703125,-7310.4462890625,
1294,4,2,149.3,433,30,-1069.3916015625,-7774.4970703125,
1295,4,2,94.3,421,29,-1105.0477294921875,-7812.90869140625,
1298,4,2,94.3,385,34,-1167.447998046875,-7576.322265625,
1301,4,2,94.3,359,29,-1261.15771484375,-7781.38720703125,
1409,4,2,254.6,1404,835,588.7147216796875,932.37060546875,
1410,4,2,269.2,1367,782,578.6408081054688,783.1728515625,
1457,4,1,413.2,1042,445,386.0224609375,-713.2164306640625,
1458,4,1,121.5,1031,455,373.8063049316406,-646.849609375,
1460,4,1,98.5,985,453,327.9089660644531,-658.1410522460938,
1464,4,1,80.0,961,479,303.9061584472656,-493.99822998046875,
1477,4,1,10.1,833,551,192.42935180664062,-96.45575714111328,
1479,4,1,123.1,804,574,171.19065856933594,14.793011665344238,
1494,4,1,431.0,705,680,113.20675659179688,452.7943420410156,
1495,4,1,68.9,693,670,102.07074737548828,416.1907653808594,
1523,4,1,129.3,713,184,-105.14166259765625,-3532.389404296875,
1525,4,1,32.6,717,180,-102.58262634277344,-3604.84814453125,
1531,4,1,105.1,716,184,-100.24081420898438,-3532.8896484375,
1532,4,1,126.9,716,188,-96.32643127441406,-3462.491455078125,
1590,4,2,8.2,691,683,103.48478698730469,463.79058837890625,
1591,4,2,59.6,699,674,107.45056915283203,430.915771484375,
1606,4,1,297.9,818,500,170.59913635253906,-366.5549011230469,
1608,4,1,22.8,826,498,177.68692016601562,-378.1745910644531,
1610,4,1,21.6,837,499,188.10690307617188,-372.79638671875,
1626,4,1,414.0,812,510,166.91986083984375,-310.4010314941406,
1627,4,1,247.8,768,487,120.87914276123047,-440.1319580078125,
1658,4,1,123.5,740,443,80.62740325927734,-714.674560546875,
1659,4,1,335.5,720,472,70.66845703125,-528.568603515625,
1663,4,1,150.1,747,368,60.2649040222168,-1278.7513427734375,
1664,4,1,299.6,745,349,49.847999572753906,-1444.845703125,
1665,4,1,33.0,748,351,54.22733688354492,-1427.025634765625,
1668,4,1,64.4,743,356,50.60344314575195,-1382.22021484375,
1688,4,1,54.5,684,541,60.17062759399414,-143.19107055664062,
1689,4,1,83.2,684,532,57.27168655395508,-189.33216857910156,
1705,4,1,53.8,693,483,48.717105865478516,-461.3861083984375,
1706,4,2,42.5,693,487,50.151397705078125,-437.79443359375,
1787,4,2,157.9,742,460,88.13863372802734,-604.1414794921875,
1788,4,1,81.3,747,453,90.86048889160156,-649.2025146484375,
1809,4,1,488.8,977,286,325.04290771484375,-2105.769287109375,
1811,4,1,68.7,949,280,287.6254577636719,-2173.0556640625,
1827,4,1,270.4,781,365,97.74221801757812,-1306.3092041015625,
1828,4,1,109.5,777,358,90.64676666259766,-1366.7403564453125,
1831,4,1,66.8,763,352,72.11780548095703,-1419.0218505859375,
1832,4,1,96.7,757,358,67.5955581665039,-1365.50439453125,
1855,4,1,105.8,724,495,81.85684967041016,-392.321533203125,
1856,4,1,336.4,744,464,91.34320831298828,-578.9789428710938,
